code,home_team,home_score,away_team,away_score,official_1,official_2,winner,loser
1999020584,Colorado Avalanche,4,Nashville Predators,2,Kevin Maguire,Lance Roberts,Colorado Avalanche,Nashville Predators
1999020586,Los Angeles Kings,3,Ottawa Senators,4,Kerry Fraser,Troy Sartison,Ottawa Senators,Los Angeles Kings
1999020587,San Jose Sharks,2,St. Louis Blues,5,Bernard Degrace,Terry Gregson,St. Louis Blues,San Jose Sharks
1999020588,Atlanta Thrashers,2,Washington Capitals,5,Paul Stewart,Gordon Broseker,Washington Capitals,Atlanta Thrashers
1999020589,Florida Panthers,4,New York Islanders,3,Michael McGeough,Kevin Collins,Florida Panthers,New York Islanders
1999020590,Chicago Blackhawks,3,Vancouver Canucks,2,Paul Devorski,Dennis LaRue,Chicago Blackhawks,Vancouver Canucks
1999020591,Calgary Flames,2,Dallas Stars,1,Stephen Walkom,Don Henderson,Calgary Flames,Dallas Stars
1999020592,Phoenix Coyotes,3,Pittsburgh Penguins,1,Kevin Maguire,Lance Roberts,Phoenix Coyotes,Pittsburgh Penguins
1999020593,Anaheim Ducks,0,Ottawa Senators,2,Kerry Fraser,Mike Leggo,Ottawa Senators,Anaheim Ducks
1999020594,Boston Bruins,0,Buffalo Sabres,0,Bill McCreary,Dan Schachte,Boston Bruins,Buffalo Sabres
1999020595,Tampa Bay Lightning,4,New York Islanders,2,Mark Faucette,Greg Kimmerly,Tampa Bay Lightning,New York Islanders
1999020596,Detroit Red Wings,3,Chicago Blackhawks,5,Dave Jackson,Scott Driscoll,Chicago Blackhawks,Detroit Red Wings
1999020597,Nashville Predators,3,Vancouver Canucks,4,Richard Trottier,Brad Watson,Vancouver Canucks,Nashville Predators
1999020598,Colorado Avalanche,4,Pittsburgh Penguins,3,Dennis LaRue,Dan O'Halloran,Colorado Avalanche,Pittsburgh Penguins
1999020599,Los Angeles Kings,2,St. Louis Blues,3,Bernard Degrace,Terry Gregson,St. Louis Blues,Los Angeles Kings
1999020600,Buffalo Sabres,1,Montréal Canadiens,2,Blaine Angus,Don Koharski,Montréal Canadiens,Buffalo Sabres
1999020601,New Jersey Devils,2,Washington Capitals,3,Bill McCreary,Derek Amell,Washington Capitals,New Jersey Devils
1999020602,Atlanta Thrashers,1,Philadelphia Flyers,0,Paul Devorski,Gordon Broseker,Atlanta Thrashers,Philadelphia Flyers
1999020603,Florida Panthers,5,Carolina Hurricanes,1,Mark Faucette,Scott Zelkin,Florida Panthers,Carolina Hurricanes
1999020604,Edmonton Oilers,2,Toronto Maple Leafs,3,Stephen Walkom,Swede Knox,Toronto Maple Leafs,Edmonton Oilers
1999020605,Anaheim Ducks,3,St. Louis Blues,1,Kerry Fraser,Lance Roberts,Anaheim Ducks,St. Louis Blues
1999020606,Montréal Canadiens,2,Boston Bruins,2,Dan Marouelli,Pierre Champoux,Montréal Canadiens,Boston Bruins
1999020607,New York Islanders,2,New York Rangers,5,Dave Jackson,Don Van Massenhoven,New York Rangers,New York Islanders
1999020608,Philadelphia Flyers,1,New Jersey Devils,4,Don Koharski,Brian Murphy,New Jersey Devils,Philadelphia Flyers
1999020609,Tampa Bay Lightning,2,Florida Panthers,5,Paul Stewart,Richard Trottier,Florida Panthers,Tampa Bay Lightning
1999020610,Nashville Predators,4,Pittsburgh Penguins,2,Greg Kimmerly,Tim Nowak,Nashville Predators,Pittsburgh Penguins
1999020611,Colorado Avalanche,3,Chicago Blackhawks,1,Stephen Walkom,Brad Watson,Colorado Avalanche,Chicago Blackhawks
1999020612,Calgary Flames,4,Toronto Maple Leafs,0,Robbie Shick,Randy Mitton,Calgary Flames,Toronto Maple Leafs
1999020613,Vancouver Canucks,1,Dallas Stars,2,Bernard Degrace,Don Henderson,Dallas Stars,Vancouver Canucks
1999020614,Phoenix Coyotes,4,Anaheim Ducks,2,Terry Gregson,Dan O'Halloran,Phoenix Coyotes,Anaheim Ducks
1999020615,San Jose Sharks,3,Los Angeles Kings,2,Kerry Fraser,Kevin Maguire,San Jose Sharks,Los Angeles Kings
