code,home_team,home_score,away_team,away_score,official_1,official_2,home_outcome,away_outcome
1994020143,Vancouver Canucks,1,San Jose Sharks,1,Don Van Massenhoven,Shane Heyer,0,0
1994020144,Buffalo Sabres,1,Boston Bruins,2,Gregson,Devorski,0,1
1994020145,Florida Panthers,2,New Jersey Devils,4,Kerry Fraser #2,Pierre Champoux,0,1
1994020146,Detroit Red Wings,4,Los Angeles Kings,4,Koharski,Morin,0,0
1994020147,Edmonton Oilers,2,Anaheim Ducks,0,Mick McGeough,Randy Mitton,1,0
1994020148,Montréal Canadiens,2,Hartford Whalers,2,Van Hellemond,Gauthier,0,0
1994020149,Philadelphia Flyers,5,Washington Capitals,3,Bill McCreary,Gordon Broseker,1,0
1994020150,Toronto Maple Leafs,4,Chicago Blackhawks,2,Mark Faucette,Jean Morin,1,0
1994020151,St. Louis Blues,4,Calgary Flames,2,Stephen Walkom,Mark Vines,1,0
1994020152,Dallas Stars,4,Winnipeg Jets (1979),7,Roberts,Pare,0,1
1994020153,Pittsburgh Penguins,5,Boston Bruins,3,Bill McCreary,Dan McCourt,1,0
1994020154,New York Islanders,2,Quebec Nordiques,3,Paul Devorski,Kevin Collins,0,1
1994020155,Tampa Bay Lightning,2,Philadelphia Flyers,5,Kerry Fraser,Pierre Champoux,0,1
1994020156,Hartford Whalers,4,Montréal Canadiens,1,Dan Marouelli,Tim Nowal,1,0
1994020157,Buffalo Sabres,1,New York Rangers,2,Stewart,Ron Asselstine,0,1
1994020158,New Jersey Devils,4,Washington Capitals,2,Richard Trottier,Brian Murphy,1,0
1994020159,Florida Panthers,2,Ottawa Senators,0,Kerry Fraser #2,Pierre Champoux,1,0
1994020160,Toronto Maple Leafs,1,Edmonton Oilers,4,Terry Gregson,Ron Finn,0,1
1994020161,Dallas Stars,1,Los Angeles Kings,3,Van Massenhoven,Pare,0,1
1994020162,Winnipeg Jets (1979),1,Detroit Red Wings,5,Mark Faucette,Swede Knox,0,1
1994020163,San Jose Sharks,3,Vancouver Canucks,1,Roberts,Wayne Bonney,1,0
1994020164,Pittsburgh Penguins,5,Hartford Whalers,2,Paul Stewart,Bob Hodges,1,0
1994020165,New York Rangers,2,Montréal Canadiens,2,Paul Devorski,Scott Driscoll,0,0
1994020166,Philadelphia Flyers,2,Quebec Nordiques,4,Andy van Hellemond,G. Devorski,0,1
1994020167,Chicago Blackhawks,2,Calgary Flames,2,Don Van Massenhoven,Thor Nelson,0,0
1994020168,New Jersey Devils,2,New York Islanders,2,Paul Devorski,Brian Murphy,0,0
1994020169,Tampa Bay Lightning,1,Ottawa Senators,2,Steve Waklkom,Gerard Gauthier,0,1
1994020170,Florida Panthers,4,Boston Bruins,5,Don Koharski #12,Pierre Champoux,0,1
1994020171,Detroit Red Wings,4,Edmonton Oilers,2,Jackson,Ron Asselstine,1,0
1994020172,Winnipeg Jets (1979),3,St. Louis Blues,4,Mark Faucette,Swede Knox,0,1
1994020173,Los Angeles Kings,0,San Jose Sharks,2,Lance Roberts,Wayne Bonney,0,1
1994020174,Anaheim Ducks,2,Vancouver Canucks,2,Dan Marouelli,Mike Cvik,0,0
1994020175,Hartford Whalers,4,Pittsburgh Penguins,2,Richard Troittier,Kevin Collins,1,0
1994020176,Montréal Canadiens,5,New York Rangers,2,Stewart,Hodges,1,0
1994020177,New York Islanders,3,New Jersey Devils,2,Andy van Hellemond,Pat Dapuzzo,1,0
1994020178,Washington Capitals,4,Quebec Nordiques,2,Terry Gregson,Gordon Broseker,1,0
