,Ref,Score,Team
97,Brad Watson,1,Minnesota Wild
98,Justin St. Pierre ,0,Colorado Avalanche
99,Justin St. Pierre ,1,Minnesota Wild
100,Chris Rooney,1,Colorado Avalanche
101,Chris Rooney,2,Minnesota Wild
102,Tim Peel,1,Colorado Avalanche
103,Tim Peel,2,Minnesota Wild
104,Brad Meier,4,Colorado Avalanche
105,Brad Meier,3,Minnesota Wild
106,Kelly Sutherland,4,Colorado Avalanche
107,Kelly Sutherland,3,Minnesota Wild
108,Gord Dwyer,2,Colorado Avalanche
109,Gord Dwyer,5,Minnesota Wild
110,Paul Devorski,2,Colorado Avalanche
111,Paul Devorski,5,Minnesota Wild
112,Eric Furlatt,4,Colorado Avalanche
113,Eric Furlatt,5,Minnesota Wild
114,Wes McCauley,4,Colorado Avalanche
115,Wes McCauley,5,Minnesota Wild
116,Kevin Pollock,3,Chicago Blackhawks
117,Kevin Pollock,4,St. Louis Blues
118,Marc Joannette,3,Chicago Blackhawks
119,Marc Joannette,4,St. Louis Blues
120,Brad Meier,3,Chicago Blackhawks
121,Brad Meier,4,St. Louis Blues
122,Kelly Sutherland,3,Chicago Blackhawks
123,Kelly Sutherland,4,St. Louis Blues
124,Dan O'Rourke,2,Chicago Blackhawks
125,Dan O'Rourke,0,St. Louis Blues
126,Dave Jackson,2,Chicago Blackhawks
127,Dave Jackson,0,St. Louis Blues
128,Eric Furlatt,4,Chicago Blackhawks
129,Eric Furlatt,3,St. Louis Blues
130,Wes McCauley,4,Chicago Blackhawks
131,Wes McCauley,3,St. Louis Blues
132,Chris Lee,3,Chicago Blackhawks
133,Chris Lee,2,St. Louis Blues
134,Francois St-Laurent,3,Chicago Blackhawks
135,Francois St-Laurent,2,St. Louis Blues
136,Dan O'Halloran,5,Chicago Blackhawks
137,Dan O'Halloran,1,St. Louis Blues
138,Gord Dwyer,5,Chicago Blackhawks
139,Gord Dwyer,1,St. Louis Blues
140,Chris Lee,4,Anaheim Ducks
141,Chris Lee,3,Dallas Stars
142,Francois St-Laurent,4,Anaheim Ducks
143,Francois St-Laurent,3,Dallas Stars
144,Brad Watson,3,Anaheim Ducks
145,Brad Watson,2,Dallas Stars
146,Justin St. Pierre ,3,Anaheim Ducks
147,Justin St. Pierre ,2,Dallas Stars
148,Brad Meier,0,Anaheim Ducks
149,Brad Meier,3,Dallas Stars
150,Kelly Sutherland,0,Anaheim Ducks
151,Kelly Sutherland,3,Dallas Stars
152,Dean Morton,2,Anaheim Ducks
153,Dean Morton,4,Dallas Stars
154,Steve Kozari,2,Anaheim Ducks
155,Steve Kozari,4,Dallas Stars
156,Eric Furlatt,6,Anaheim Ducks
157,Eric Furlatt,2,Dallas Stars
158,Wes McCauley,6,Anaheim Ducks
159,Wes McCauley,2,Dallas Stars
160,Dan O'Rourke,5,Anaheim Ducks
161,Dan O'Rourke,4,Dallas Stars
162,Dave Jackson,5,Anaheim Ducks
163,Dave Jackson,4,Dallas Stars
164,Brad Meier,3,Los Angeles Kings
165,Brad Meier,6,San Jose Sharks
166,Kelly Sutherland,3,Los Angeles Kings
167,Kelly Sutherland,6,San Jose Sharks
168,Dan O'Halloran,2,Los Angeles Kings
169,Dan O'Halloran,7,San Jose Sharks
170,Gord Dwyer,2,Los Angeles Kings
171,Gord Dwyer,7,San Jose Sharks
172,Chris Rooney,3,Los Angeles Kings
