,Ref,Team,Wins,Losses,Win %,Goals per Game
322,Andy McElman,Arizona Coyotes,0,0,,
323,Andy McElman,Vegas Golden Knights,0,0,,
324,Richard Trottier,Buffalo Sabres,12,14,0.46153846153846156,2.2758620689655173
325,Richard Trottier,New York Rangers,12,6,0.6666666666666666,3.227272727272727
326,Richard Trottier,Pittsburgh Penguins,12,7,0.631578947368421,3.1304347826086962
327,Richard Trottier,Tampa Bay Lightning,13,15,0.4642857142857143,2.5
328,Richard Trottier,Chicago Blackhawks,14,17,0.45161290322580644,2.65625
329,Richard Trottier,Detroit Red Wings,9,7,0.5625,3.0
330,Richard Trottier,Calgary Flames,10,20,0.3333333333333333,2.303030303030303
331,Richard Trottier,Winnipeg Jets (1979),3,7,0.3,2.7
332,Richard Trottier,Anaheim Ducks,15,17,0.46875,2.617647058823529
333,Richard Trottier,Edmonton Oilers,15,7,0.6818181818181818,2.962962962962963
334,Richard Trottier,Dallas Stars,10,6,0.625,2.9444444444444446
335,Richard Trottier,Vancouver Canucks,12,13,0.48,2.5172413793103448
336,Richard Trottier,San Jose Sharks,9,12,0.42857142857142855,2.8260869565217392
337,Richard Trottier,St. Louis Blues,16,8,0.6666666666666666,3.2962962962962963
338,Richard Trottier,Los Angeles Kings,11,15,0.4230769230769231,2.7857142857142856
339,Richard Trottier,Toronto Maple Leafs,11,12,0.4782608695652174,2.652173913043478
340,Richard Trottier,Hartford Whalers,7,5,0.5833333333333334,2.7857142857142856
341,Richard Trottier,Washington Capitals,9,20,0.3103448275862069,2.3225806451612905
342,Richard Trottier,Florida Panthers,13,12,0.52,2.6333333333333333
343,Richard Trottier,New York Islanders,13,20,0.3939393939393939,2.3888888888888893
344,Richard Trottier,Montréal Canadiens,8,9,0.47058823529411764,2.4
345,Richard Trottier,Philadelphia Flyers,15,6,0.7142857142857143,3.0769230769230766
346,Richard Trottier,Quebec Nordiques,3,0,1.0,4.666666666666667
347,Richard Trottier,Boston Bruins,9,18,0.3333333333333333,2.3666666666666667
348,Richard Trottier,New Jersey Devils,16,9,0.64,2.794117647058824
349,Richard Trottier,Ottawa Senators,11,17,0.39285714285714285,2.566666666666667
350,Richard Trottier,Colorado Avalanche,17,5,0.7727272727272727,3.08
351,Richard Trottier,Phoenix Coyotes,10,12,0.45454545454545453,2.769230769230769
352,Richard Trottier,Carolina Hurricanes,15,5,0.75,2.9166666666666665
353,Richard Trottier,Nashville Predators,4,10,0.2857142857142857,2.25
354,Richard Trottier,Atlanta Thrashers,2,5,0.2857142857142857,2.0
355,Richard Trottier,Minnesota Wild,1,0,1.0,3.0
356,Richard Trottier,Columbus Blue Jackets,0,1,0.0,1.0
357,Richard Trottier,Winnipeg Jets,0,0,,
358,Richard Trottier,Arizona Coyotes,0,0,,
359,Richard Trottier,Vegas Golden Knights,0,0,,
360,Devorsky,Buffalo Sabres,0,0,,
