,Ref,Team,Goals per Game
213,G. Devorski,Winnipeg Jets,
214,G. Devorski,Arizona Coyotes,
215,G. Devorski,Vegas Golden Knights,
216,Kerry Fraser,Buffalo Sabres,2.857142857142857
217,Kerry Fraser,New York Rangers,2.4504504504504503
218,Kerry Fraser,Pittsburgh Penguins,3.0
219,Kerry Fraser,Tampa Bay Lightning,2.34375
220,Kerry Fraser,Chicago Blackhawks,2.9523809523809526
221,Kerry Fraser,Detroit Red Wings,3.5
222,Kerry Fraser,Calgary Flames,2.491228070175439
223,Kerry Fraser,Winnipeg Jets (1979),2.2
224,Kerry Fraser,Anaheim Ducks,2.425925925925926
225,Kerry Fraser,Edmonton Oilers,2.4
226,Kerry Fraser,Dallas Stars,2.44
227,Kerry Fraser,Vancouver Canucks,2.772727272727273
228,Kerry Fraser,San Jose Sharks,2.823529411764706
229,Kerry Fraser,St. Louis Blues,2.75
230,Kerry Fraser,Los Angeles Kings,2.5441176470588234
231,Kerry Fraser,Toronto Maple Leafs,2.6714285714285713
232,Kerry Fraser,Hartford Whalers,3.0
233,Kerry Fraser,Washington Capitals,2.6818181818181817
234,Kerry Fraser,Florida Panthers,2.432098765432099
235,Kerry Fraser,New York Islanders,2.4941176470588236
236,Kerry Fraser,Montréal Canadiens,2.629032258064516
237,Kerry Fraser,Philadelphia Flyers,2.8962264150943398
238,Kerry Fraser,Quebec Nordiques,2.5
239,Kerry Fraser,Boston Bruins,2.8842105263157896
240,Kerry Fraser,New Jersey Devils,2.8526315789473684
241,Kerry Fraser,Ottawa Senators,2.9375
242,Kerry Fraser,Colorado Avalanche,3.1785714285714284
243,Kerry Fraser,Phoenix Coyotes,2.5098039215686274
244,Kerry Fraser,Carolina Hurricanes,2.5901639344262297
245,Kerry Fraser,Nashville Predators,2.8947368421052633
246,Kerry Fraser,Atlanta Thrashers,2.7567567567567566
247,Kerry Fraser,Minnesota Wild,2.8076923076923075
248,Kerry Fraser,Columbus Blue Jackets,2.875
