,Ref,Score,Team
3233,Chris Lee,3,San Jose Sharks
3234,Tim Peel,2,Anaheim Ducks
3235,Tim Peel,3,San Jose Sharks
3236,Chris Rooney,2,Boston Bruins
3237,Chris Rooney,5,Carolina Hurricanes
3238,Dan O'Rourke,2,Boston Bruins
3239,Dan O'Rourke,5,Carolina Hurricanes
3240,Kerry Fraser,4,Philadelphia Flyers
3241,Kerry Fraser,4,Pittsburgh Penguins
3242,Rob Martell,4,Philadelphia Flyers
3243,Rob Martell,4,Pittsburgh Penguins
3244,Don VanMassenhoven,3,Los Angeles Kings
3245,Don VanMassenhoven,4,Washington Capitals
3246,Justin StPierre,3,Los Angeles Kings
3247,Justin StPierre,4,Washington Capitals
3248,Dean Warren,1,Calgary Flames
3249,Dean Warren,2,Columbus Blue Jackets
3250,Ian Walsh,1,Calgary Flames
3251,Ian Walsh,2,Columbus Blue Jackets
3252,Gord Dwyer,1,Montréal Canadiens
3253,Gord Dwyer,4,Ottawa Senators
3254,Rob Shick,1,Montréal Canadiens
3255,Rob Shick,4,Ottawa Senators
3256,Craig Spada,2,New Jersey Devils
3257,Craig Spada,0,New York Islanders
3258,Kevin Pollock,2,New Jersey Devils
3259,Kevin Pollock,0,New York Islanders
3260,Bill McCreary,0,Detroit Red Wings
3261,Bill McCreary,1,St. Louis Blues
3262,Dan O'Halloran,0,Detroit Red Wings
3263,Dan O'Halloran,1,St. Louis Blues
3264,Paul Devorski,4,Nashville Predators
3265,Paul Devorski,2,Toronto Maple Leafs
3266,Stephane Auger,4,Nashville Predators
3267,Stephane Auger,2,Toronto Maple Leafs
3268,Dennis LaRue,2,Florida Panthers
3269,Dennis LaRue,4,Minnesota Wild
3270,Kelly Sutherland,2,Florida Panthers
3271,Kelly Sutherland,4,Minnesota Wild
3272,Greg Kimmerly,6,Atlanta Thrashers
3273,Greg Kimmerly,3,Colorado Avalanche
3274,Michael McGeough,6,Atlanta Thrashers
3275,Michael McGeough,3,Colorado Avalanche
3276,Kerry Fraser,5,New York Rangers
3277,Kerry Fraser,0,Tampa Bay Lightning
3278,Rob Martell,5,New York Rangers
3279,Rob Martell,0,Tampa Bay Lightning
3280,Dan Marouelli,1,Chicago Blackhawks
3281,Dan Marouelli,2,Edmonton Oilers
3282,Mike Leggo,1,Chicago Blackhawks
3283,Mike Leggo,2,Edmonton Oilers
3284,Brad Meier,0,Anaheim Ducks
3285,Brad Meier,1,Dallas Stars
3286,Michael McGeough,0,Anaheim Ducks
3287,Michael McGeough,1,Dallas Stars
3288,Craig Spada,3,Boston Bruins
3289,Craig Spada,3,New York Islanders
3290,Kevin Pollock,3,Boston Bruins
3291,Kevin Pollock,3,New York Islanders
3292,Greg Kimmerly,2,Buffalo Sabres
3293,Greg Kimmerly,2,Calgary Flames
3294,Rob Shick,2,Buffalo Sabres
3295,Rob Shick,2,Calgary Flames
3296,Eric Furlatt,3,Montréal Canadiens
3297,Eric Furlatt,5,Ottawa Senators
3298,Marc Joannette,3,Montréal Canadiens
3299,Marc Joannette,5,Ottawa Senators
3300,Dan O'Rourke,4,Philadelphia Flyers
3301,Dan O'Rourke,3,St. Louis Blues
3302,Ian Walsh,4,Philadelphia Flyers
3303,Ian Walsh,3,St. Louis Blues
3304,Dean Warren,5,New York Rangers
3305,Dean Warren,2,Washington Capitals
3306,Justin StPierre,5,New York Rangers
3307,Justin StPierre,2,Washington Capitals
3308,Chris Rooney,5,Florida Panthers
3309,Chris Rooney,2,Phoenix Coyotes
3310,Don Koharski,5,Florida Panthers
3311,Don Koharski,2,Phoenix Coyotes
3312,Kelly Sutherland,4,Los Angeles Kings
3313,Kelly Sutherland,1,Nashville Predators
3314,Tim Peel,4,Los Angeles Kings
3315,Tim Peel,1,Nashville Predators
3316,Paul Devorski,4,Carolina Hurricanes
3317,Paul Devorski,5,Minnesota Wild
3318,Stephane Auger,4,Carolina Hurricanes
3319,Stephane Auger,5,Minnesota Wild
3320,Brad Watson,2,Atlanta Thrashers
3321,Brad Watson,3,Vancouver Canucks
3322,Tom Kowal,2,Atlanta Thrashers
3323,Tom Kowal,3,Vancouver Canucks
3324,Dave Jackson,1,New Jersey Devils
3325,Dave Jackson,4,Tampa Bay Lightning
3326,Kerry Fraser,1,New Jersey Devils
3327,Kerry Fraser,4,Tampa Bay Lightning
3328,Mike Hasenfratz,5,Chicago Blackhawks
3329,Mike Hasenfratz,4,Columbus Blue Jackets
3330,Steve Kozari,5,Chicago Blackhawks
3331,Steve Kozari,4,Columbus Blue Jackets
3332,Brad Meier,5,Colorado Avalanche
3333,Brad Meier,7,Dallas Stars
3334,Wes McCauley,5,Colorado Avalanche
3335,Wes McCauley,7,Dallas Stars
3336,Kelly Sutherland,4,Calgary Flames
3337,Kelly Sutherland,7,Detroit Red Wings
3338,Tim Peel,4,Calgary Flames
3339,Tim Peel,7,Detroit Red Wings
3340,Brad Watson,1,Atlanta Thrashers
3341,Brad Watson,5,Edmonton Oilers
3342,Tom Kowal,1,Atlanta Thrashers
3343,Tom Kowal,5,Edmonton Oilers
3344,Dave Jackson,1,Detroit Red Wings
3345,Dave Jackson,6,Philadelphia Flyers
3346,Paul Devorski,1,Detroit Red Wings
3347,Paul Devorski,6,Philadelphia Flyers
3348,Dan O'Rourke,3,Boston Bruins
3349,Dan O'Rourke,0,Edmonton Oilers
3350,Don VanMassenhoven,3,Boston Bruins
3351,Don VanMassenhoven,0,Edmonton Oilers
3352,Craig Spada,2,Carolina Hurricanes
3353,Craig Spada,1,Los Angeles Kings
3354,Kelly Sutherland,2,Carolina Hurricanes
3355,Kelly Sutherland,1,Los Angeles Kings
3356,Dan Marouelli,2,New York Islanders
3357,Dan Marouelli,2,Toronto Maple Leafs
3358,Kevin Pollock,2,New York Islanders
3359,Kevin Pollock,2,Toronto Maple Leafs
3360,Greg Kimmerly,1,Florida Panthers
3361,Greg Kimmerly,0,Montréal Canadiens
3362,Kerry Fraser,1,Florida Panthers
3363,Kerry Fraser,0,Montréal Canadiens
3364,Gord Dwyer,3,Phoenix Coyotes
3365,Gord Dwyer,5,Tampa Bay Lightning
3366,Mike Hasenfratz,3,Phoenix Coyotes
3367,Mike Hasenfratz,5,Tampa Bay Lightning
3368,Brad Meier,6,San Jose Sharks
3369,Brad Meier,5,St. Louis Blues
3370,Wes McCauley,6,San Jose Sharks
3371,Wes McCauley,5,St. Louis Blues
3372,Dennis LaRue,0,Anaheim Ducks
3373,Dennis LaRue,2,Colorado Avalanche
3374,Tim Peel,0,Anaheim Ducks
3375,Tim Peel,2,Colorado Avalanche
3376,Brad Watson,1,Atlanta Thrashers
3377,Brad Watson,4,Calgary Flames
3378,Eric Furlatt,1,Atlanta Thrashers
3379,Eric Furlatt,4,Calgary Flames
3380,Dave Jackson,2,Columbus Blue Jackets
3381,Dave Jackson,4,St. Louis Blues
3382,Wes McCauley,2,Columbus Blue Jackets
3383,Wes McCauley,4,St. Louis Blues
3384,Chris Lee,0,Florida Panthers
3385,Chris Lee,4,Ottawa Senators
3386,Stephane Auger,0,Florida Panthers
3387,Stephane Auger,4,Ottawa Senators
3388,Dean Morton,2,Montréal Canadiens
3389,Dean Morton,5,New Jersey Devils
3390,Don Koharski,2,Montréal Canadiens
3391,Don Koharski,5,New Jersey Devils
3392,Dean Warren,4,Chicago Blackhawks
3393,Dean Warren,4,Pittsburgh Penguins
3394,Ian Walsh,4,Chicago Blackhawks
3395,Ian Walsh,4,Pittsburgh Penguins
3396,Gord Dwyer,5,Nashville Predators
3397,Gord Dwyer,0,San Jose Sharks
3398,Kelly Sutherland,5,Nashville Predators
3399,Kelly Sutherland,0,San Jose Sharks
3400,Rob Martell,2,Minnesota Wild
3401,Rob Martell,3,Vancouver Canucks
3402,Rob Shick,2,Minnesota Wild
3403,Rob Shick,3,Vancouver Canucks
3404,Mike Leggo,1,Dallas Stars
3405,Mike Leggo,3,Detroit Red Wings
3406,Steve Kozari,1,Dallas Stars
3407,Steve Kozari,3,Detroit Red Wings
3408,Dean Warren,2,Buffalo Sabres
3409,Dean Warren,1,Edmonton Oilers
3410,Paul Devorski,2,Buffalo Sabres
3411,Paul Devorski,1,Edmonton Oilers
3412,Craig Spada,2,Philadelphia Flyers
3413,Craig Spada,4,Toronto Maple Leafs
3414,Don Koharski,2,Philadelphia Flyers
3415,Don Koharski,4,Toronto Maple Leafs
3416,Dan O'Halloran,1,Carolina Hurricanes
3417,Dan O'Halloran,4,New York Rangers
3418,Mike Hasenfratz,1,Carolina Hurricanes
3419,Mike Hasenfratz,4,New York Rangers
3420,Don VanMassenhoven,1,Boston Bruins
3421,Don VanMassenhoven,4,New York Islanders
3422,Ian Walsh,1,Boston Bruins
3423,Ian Walsh,4,New York Islanders
3424,Gord Dwyer,2,Tampa Bay Lightning
3425,Gord Dwyer,2,Washington Capitals
3426,Kelly Sutherland,2,Tampa Bay Lightning
3427,Kelly Sutherland,2,Washington Capitals
3428,Brad Watson,5,Calgary Flames
3429,Brad Watson,7,Colorado Avalanche
3430,Eric Furlatt,5,Calgary Flames
3431,Eric Furlatt,7,Colorado Avalanche
3432,Brad Meier,5,Anaheim Ducks
3433,Brad Meier,4,Phoenix Coyotes
3434,Mike Leggo,5,Anaheim Ducks
3435,Mike Leggo,4,Phoenix Coyotes
3436,Justin StPierre,3,Columbus Blue Jackets
3437,Justin StPierre,0,San Jose Sharks
3438,Marc Joannette,3,Columbus Blue Jackets
3439,Marc Joannette,0,San Jose Sharks
3440,Bill McCreary,4,New Jersey Devils
3441,Bill McCreary,5,Pittsburgh Penguins
3442,Chris Lee,4,New Jersey Devils
3443,Chris Lee,5,Pittsburgh Penguins
3444,Rob Shick,0,Nashville Predators
3445,Rob Shick,1,St. Louis Blues
3446,Tim Peel,0,Nashville Predators
3447,Tim Peel,1,St. Louis Blues
3448,Rob Martell,1,Chicago Blackhawks
3449,Rob Martell,1,Vancouver Canucks
3450,Tom Kowal,1,Chicago Blackhawks
3451,Tom Kowal,1,Vancouver Canucks
3452,Bill McCreary,3,New York Rangers
3453,Bill McCreary,5,Philadelphia Flyers
3454,Chris Lee,3,New York Rangers
3455,Chris Lee,5,Philadelphia Flyers
3456,Craig Spada,3,Boston Bruins
3457,Craig Spada,3,Buffalo Sabres
3458,Dan Marouelli,3,Boston Bruins
3459,Dan Marouelli,3,Buffalo Sabres
3460,Paul Devorski,3,Edmonton Oilers
3461,Paul Devorski,4,Toronto Maple Leafs
3462,Rob Martell,3,Edmonton Oilers
