code,away_outcome,away_score,away_team,home_outcome,home_score,home_team,official_1,official_2
1997020869,0,0,Anaheim Ducks,1,3,New Jersey Devils,Don Van Massenhoven,Jean Morin
1997020870,0,0,Carolina Hurricanes,1,1,Washington Capitals,Paul Stewart,Randy Mitton
1997020871,0,2,Vancouver Canucks,1,4,Tampa Bay Lightning,Stephen Walkom,Mark Pare
1997020872,1,5,Detroit Red Wings,0,2,Toronto Maple Leafs,Paul Devorski,Mark Wheler
1997020873,1,3,Dallas Stars,0,1,San Jose Sharks,Bill McCreary,Wayne Bonney
1997020874,0,0,Toronto Maple Leafs,1,4,Boston Bruins,Don Koharski,Randy Mitton
1997020875,0,1,Florida Panthers,1,6,Buffalo Sabres,Dennis Larue,Scott Driscoll
1997020876,0,3,Anaheim Ducks,0,3,Philadelphia Flyers,Dan Marouelli,Swede Knox
1997020877,0,0,Montréal Canadiens,1,1,Chicago Blackhawks,Robbie Shick,Thor Nelson
1997020878,1,4,Colorado Avalanche,0,3,Phoenix Coyotes,Lance Roberts,Wayne Bonney
1997020879,0,1,Vancouver Canucks,0,1,Ottawa Senators,Richard Trottier,Kevin Collins
1997020880,0,0,New Jersey Devils,1,2,Washington Capitals,Stephen Walkom,Swede Knox
1997020881,0,1,Carolina Hurricanes,1,6,Dallas Stars,Kerry Fraser,Mark Wheler
1997020882,0,1,New York Islanders,1,4,Calgary Flames,Michael McGeough,Don Henderson
1997020883,0,3,Philadelphia Flyers,1,4,Pittsburgh Penguins,Don Koharski,Danny McCourt
1997020884,1,2,Boston Bruins,0,1,Buffalo Sabres,Terry Gregson,Scott Driscoll
1997020885,1,5,Anaheim Ducks,0,4,Montréal Canadiens,Richard Trottier,Jean Morin
1997020886,1,4,Detroit Red Wings,0,3,New York Rangers,Dave Jackson,Gerry Gauthier
1997020887,0,2,Washington Capitals,1,3,New Jersey Devils,Dan Marouelli,Brian Murphy
1997020888,0,1,Florida Panthers,1,5,Tampa Bay Lightning,Robbie Shick,Mark Pare
1997020889,0,1,Vancouver Canucks,0,1,Toronto Maple Leafs,Bill McCreary,Randy Mitton
1997020890,0,0,St. Louis Blues,1,2,Edmonton Oilers,Paul Stewart,Don Henderson
1997020891,1,2,Colorado Avalanche,0,0,San Jose Sharks,Lance Roberts,Jay Sharrers
1997020892,0,2,Phoenix Coyotes,1,3,Los Angeles Kings,Paul Devorski,Baron Parker
1997020893,1,5,Anaheim Ducks,0,2,Ottawa Senators,Don Van Massenhoven,Jean Morin
1997020894,0,4,New York Rangers,1,5,Philadelphia Flyers,Bill McCreary,Gerry Gauthier
1997020895,0,0,Boston Bruins,1,1,Chicago Blackhawks,Dennis Larue,Dan Schachte
1997020896,0,0,Pittsburgh Penguins,0,0,Dallas Stars,Kerry Fraser,Mark Wheler
1997020897,0,1,San Jose Sharks,1,3,Phoenix Coyotes,Paul Devorski,Wayne Bonney
1997020898,0,3,St. Louis Blues,1,5,Calgary Flames,Paul Stewart,Brad Lazarowich
1997020899,1,3,New York Islanders,0,1,Edmonton Oilers,Michael McGeough,Don Henderson
1997020900,1,5,Carolina Hurricanes,0,3,Florida Panthers,Dave Jackson,Tim Nowak
1997020901,0,5,Chicago Blackhawks,0,5,Detroit Red Wings,Terry Gregson,Danny McCourt
1997020902,0,2,Philadelphia Flyers,1,3,New Jersey Devils,Robbie Shick,Gerry Gauthier
1997020903,0,2,Toronto Maple Leafs,1,4,Phoenix Coyotes,Richard Trottier,Wayne Bonney
1997020904,1,2,Buffalo Sabres,0,0,Calgary Flames,Paul Devorski,Mike Cvik
1997020905,0,3,New York Islanders,1,4,Vancouver Canucks,Lance Roberts,Brad Lazarowich
1997020906,1,4,Los Angeles Kings,0,3,San Jose Sharks,Paul Stewart,Baron Parker
1997020907,1,3,Ottawa Senators,0,2,New York Rangers,Robbie Shick,Kevin Collins
1997020908,1,2,Montréal Canadiens,0,1,Tampa Bay Lightning,Dave Jackson,Tim Nowak
1997020909,1,3,Anaheim Ducks,0,2,Chicago Blackhawks,Michael McGeough,Thor Nelson
1997020910,0,2,Washington Capitals,1,4,Edmonton Oilers,Paul Devorski,Swede Knox
1997020911,0,2,Philadelphia Flyers,1,4,Boston Bruins,Bill McCreary,Ray Scapinello
1997020912,0,1,New York Rangers,1,4,Carolina Hurricanes,Dave Jackson,Gordon Broseker
1997020913,0,3,Pittsburgh Penguins,1,4,New York Islanders,Kerry Fraser,Kevin Collins
1997020914,0,4,Montréal Canadiens,1,5,Florida Panthers,Terry Gregson,Tim Nowak
1997020915,0,3,Anaheim Ducks,0,3,Detroit Red Wings,Stephen Walkom,Danny McCourt
1997020916,0,2,Tampa Bay Lightning,1,3,St. Louis Blues,Michael McGeough,Thor Nelson
1997020917,1,1,Toronto Maple Leafs,0,0,Dallas Stars,Don Koharski,Jay Sharrers
1997020918,1,2,New Jersey Devils,0,0,Colorado Avalanche,Paul Stewart,Scott Driscoll
1997020919,0,2,Washington Capitals,1,3,Calgary Flames,Lance Roberts,Don Henderson
1997020920,1,5,Buffalo Sabres,0,2,Vancouver Canucks,Dan Marouelli,Brad Lazarowich
1997020921,1,5,San Jose Sharks,0,2,Los Angeles Kings,Richard Trottier,Baron Parker
1997020922,0,1,Ottawa Senators,1,2,Chicago Blackhawks,Robbie Shick,Danny McCourt
1997020923,1,1,Buffalo Sabres,0,0,Edmonton Oilers,Lance Roberts,Don Henderson
1997020924,1,3,Florida Panthers,0,2,Boston Bruins,Kerry Fraser,Ray Scapinello
1997020925,0,2,New York Rangers,0,2,Pittsburgh Penguins,Don Van Massenhoven,Jean Morin
1997020926,0,2,Tampa Bay Lightning,1,8,Montréal Canadiens,Stephen Walkom,Pierre Champoux
1997020927,1,4,Carolina Hurricanes,0,2,Philadelphia Flyers,Terry Gregson,Kevin Collins
1997020928,0,3,New York Islanders,1,4,Toronto Maple Leafs,Bill McCreary,Brad Lazarowich
1997020929,0,2,Detroit Red Wings,1,3,St. Louis Blues,Richard Trottier,Thor Nelson
1997020930,1,4,San Jose Sharks,0,1,Dallas Stars,Don Koharski,Jay Sharrers
1997020931,0,3,Anaheim Ducks,1,5,Colorado Avalanche,Paul Devorski,Scott Driscoll
1997020932,1,3,New Jersey Devils,0,0,Phoenix Coyotes,Paul Stewart,Wayne Bonney
1997020933,0,2,Los Angeles Kings,1,5,Calgary Flames,Dan Marouelli,Mark Wheler
1997020934,1,3,Washington Capitals,0,2,Vancouver Canucks,Dennis Larue,Baron Parker
1997020935,1,3,Philadelphia Flyers,0,1,Carolina Hurricanes,Don Van Massenhoven,Gordon Broseker
1997020936,0,1,Ottawa Senators,0,1,Pittsburgh Penguins,Terry Gregson,Jean Morin
1997020937,0,2,Buffalo Sabres,1,4,Detroit Red Wings,Kerry Fraser,Ray Scapinello
1997020938,1,4,Florida Panthers,0,0,Chicago Blackhawks,Richard Trottier,Danny McCourt
1997020939,0,1,New Jersey Devils,1,3,Dallas Stars,Mark Faucette,Jay Sharrers
1997020940,0,1,Colorado Avalanche,1,4,Boston Bruins,Stephen Walkom,Kevin Collins
1997020941,1,3,Tampa Bay Lightning,0,1,New York Rangers,Lance Roberts,Brian Murphy
1997020942,1,3,Los Angeles Kings,0,2,Toronto Maple Leafs,Dave Jackson,Ray Scapinello
1997020943,0,2,San Jose Sharks,1,6,St. Louis Blues,Mark Faucette,Scott Driscoll
1997020944,0,1,Calgary Flames,1,3,Edmonton Oilers,Dan Marouelli,Mark Wheler
1997020945,0,3,Montréal Canadiens,0,3,Carolina Hurricanes,Michael McGeough,Pat Dapuzzo
1997020946,0,2,Chicago Blackhawks,1,3,Philadelphia Flyers,Bill McCreary,Pierre Champoux
1997020947,0,2,New York Islanders,1,5,Washington Capitals,Don Van Massenhoven,Jean Morin
1997020948,1,3,San Jose Sharks,0,2,Pittsburgh Penguins,Stephen Walkom,Wayne Bonney
1997020949,0,0,Los Angeles Kings,1,4,Buffalo Sabres,Richard Trottier,Mark Pare
1997020950,0,0,Tampa Bay Lightning,1,4,New York Islanders,Lance Roberts,Pat Dapuzzo
1997020951,1,4,Boston Bruins,0,2,New York Rangers,Kerry Fraser,Brian Murphy
1997020952,1,4,Carolina Hurricanes,0,0,New Jersey Devils,Don Van Massenhoven,Jean Morin
1997020953,1,4,Montréal Canadiens,0,3,Florida Panthers,Dennis Larue,Kevin Collins
1997020954,1,6,St. Louis Blues,0,4,Toronto Maple Leafs,Paul Devorski,Ray Scapinello
1997020955,0,0,Colorado Avalanche,1,2,Detroit Red Wings,Terry Gregson,Danny McCourt
1997020956,0,1,Dallas Stars,1,3,Calgary Flames,Mark Faucette,Don Henderson
1997020957,0,2,Edmonton Oilers,1,4,Vancouver Canucks,Don Koharski,Baron Parker
1997020958,1,5,Phoenix Coyotes,0,1,Anaheim Ducks,Dave Jackson,Shane Heyer
1997020959,0,3,San Jose Sharks,0,3,Ottawa Senators,Paul Devorski,Pierre Champoux
1997020960,0,0,Los Angeles Kings,1,3,Philadelphia Flyers,Michael McGeough,Wayne Bonney
1997020961,0,1,Tampa Bay Lightning,1,4,Washington Capitals,Dennis Larue,Thor Nelson
1997020962,0,1,Colorado Avalanche,1,2,Chicago Blackhawks,Terry Gregson,Dan Schachte
1997020963,0,4,Boston Bruins,1,5,Buffalo Sabres,Robbie Shick,Mark Pare
1997020964,1,3,Ottawa Senators,0,2,New Jersey Devils,Paul Stewart,Thor Nelson
1997020965,0,3,Anaheim Ducks,1,6,Phoenix Coyotes,Don Koharski,Jay Sharrers
1997020966,0,1,Dallas Stars,1,4,Edmonton Oilers,Mark Faucette,Swede Knox
1997020967,1,1,Carolina Hurricanes,0,0,Montréal Canadiens,Paul Devorski,Jean Morin
1997020968,0,0,New York Rangers,1,3,New York Islanders,Dennis Larue,Thor Nelson
1997020969,1,4,Florida Panthers,0,1,Philadelphia Flyers,Stephen Walkom,Wayne Bonney
1997020970,0,2,Los Angeles Kings,1,3,Washington Capitals,Lance Roberts,Brian Murphy
1997020971,1,4,Pittsburgh Penguins,0,1,Tampa Bay Lightning,Michael McGeough,Kevin Collins
1997020972,1,5,San Jose Sharks,0,3,Toronto Maple Leafs,Dan Marouelli,Mark Pare
1997020973,1,3,Detroit Red Wings,0,2,Chicago Blackhawks,Don Van Massenhoven,Ray Scapinello
1997020974,0,1,Colorado Avalanche,1,4,St. Louis Blues,Kerry Fraser,Danny McCourt
1997020975,0,3,Dallas Stars,1,5,Vancouver Canucks,Dave Jackson,Baron Parker
1997020976,1,1,Ottawa Senators,0,0,Buffalo Sabres,Stephen Walkom,Scott Driscoll
1997020977,0,2,Phoenix Coyotes,1,3,New Jersey Devils,Terry Gregson,Wayne Bonney
1997020978,0,1,Pittsburgh Penguins,1,3,Florida Panthers,Paul Stewart,Kevin Collins
1997020979,1,2,New York Rangers,0,1,Chicago Blackhawks,Kerry Fraser,Ray Scapinello
1997020980,0,3,Calgary Flames,0,3,Anaheim Ducks,Don Koharski,Shane Heyer
1997020981,1,3,Carolina Hurricanes,0,0,Boston Bruins,Bill McCreary,Brian Murphy
1997020982,0,2,Montréal Canadiens,0,2,Washington Capitals,Robbie Shick,Wayne Bonney
1997020983,1,3,New York Islanders,0,0,Tampa Bay Lightning,Michael McGeough,Gerry Gauthier
1997020984,0,2,Toronto Maple Leafs,1,4,Dallas Stars,Dennis Larue,Danny McCourt
1997020985,1,3,Los Angeles Kings,0,1,Colorado Avalanche,Mark Faucette,Don Henderson
1997020986,0,2,Vancouver Canucks,1,3,Edmonton Oilers,Don Van Massenhoven,Mark Wheler
1997020987,1,2,Phoenix Coyotes,0,1,Pittsburgh Penguins,Bill McCreary,Scott Driscoll
1997020988,1,4,Boston Bruins,0,2,Ottawa Senators,Robbie Shick,Jean Morin
1997020989,1,3,Montréal Canadiens,0,2,New York Rangers,Terry Gregson,Pat Dapuzzo
1997020990,1,3,Toronto Maple Leafs,0,1,Florida Panthers,Dave Jackson,Pierre Racicot
1997020991,0,3,St. Louis Blues,1,5,Detroit Red Wings,Paul Stewart,Mark Pare
1997020992,0,0,Calgary Flames,1,6,San Jose Sharks,Kerry Fraser,Don Henderson
1997020993,0,1,Carolina Hurricanes,1,3,Buffalo Sabres,Terry Gregson,Ray Scapinello
1997020994,0,2,New Jersey Devils,1,3,New York Islanders,Lance Roberts,Brian Murphy
1997020995,1,6,Philadelphia Flyers,0,1,Tampa Bay Lightning,Dave Jackson,Gerry Gauthier
1997020996,0,1,Washington Capitals,1,2,Dallas Stars,Michael McGeough,Jay Sharrers
1997020997,0,2,Edmonton Oilers,1,4,Anaheim Ducks,Stephen Walkom,Shane Heyer
1997020998,0,1,New York Islanders,1,4,Boston Bruins,Robbie Shick,Kevin Collins
1997020999,0,2,Toronto Maple Leafs,1,5,Carolina Hurricanes,Don Koharski,Gordon Broseker
1997021000,0,1,Pittsburgh Penguins,1,4,Ottawa Senators,Don Van Massenhoven,Pierre Champoux
1997021001,0,2,Philadelphia Flyers,1,3,Florida Panthers,Mark Faucette,Gerry Gauthier
1997021002,0,1,Phoenix Coyotes,1,5,Detroit Red Wings,Lance Roberts,Scott Driscoll
1997021003,0,2,Chicago Blackhawks,1,3,St. Louis Blues,Bill McCreary,Dan Schachte
1997021004,1,6,Vancouver Canucks,0,3,Calgary Flames,Dan Marouelli,Mark Wheler
1997021005,0,2,Anaheim Ducks,1,5,San Jose Sharks,Paul Devorski,Don Henderson
1997021006,1,4,Edmonton Oilers,0,0,Los Angeles Kings,Kerry Fraser,Baron Parker
1997021007,0,1,Montréal Canadiens,1,2,Buffalo Sabres,Paul Stewart,Danny McCourt
1997021008,1,3,New Jersey Devils,0,2,Boston Bruins,Dennis Larue,Kevin Collins
1997021009,0,3,Florida Panthers,0,3,Pittsburgh Penguins,Lance Roberts,Ray Scapinello
1997021010,0,4,Buffalo Sabres,0,4,Ottawa Senators,Don Koharski,Jean Morin
1997021011,0,3,New York Islanders,0,3,Montréal Canadiens,Dave Jackson,Stephane Provost
1997021012,0,3,Washington Capitals,1,4,Philadelphia Flyers,Don Van Massenhoven,Pat Dapuzzo
1997021013,1,5,Dallas Stars,0,1,Tampa Bay Lightning,Mark Faucette,Gerry Gauthier
1997021014,0,1,Carolina Hurricanes,1,5,Toronto Maple Leafs,Terry Gregson,Danny McCourt
1997021015,0,2,New York Rangers,1,5,Detroit Red Wings,Bill McCreary,Scott Driscoll
1997021016,1,4,Phoenix Coyotes,0,3,St. Louis Blues,Robbie Shick,Dan Schachte
1997021017,1,5,Edmonton Oilers,0,4,Calgary Flames,Stephen Walkom,Mark Wheler
1997021018,0,1,Vancouver Canucks,0,1,San Jose Sharks,Kerry Fraser,Don Henderson
1997021019,0,3,Colorado Avalanche,1,4,Los Angeles Kings,Dan Marouelli,Baron Parker
1997021020,0,5,Florida Panthers,0,5,New Jersey Devils,Don Van Massenhoven,Pat Dapuzzo
1997021021,1,2,Phoenix Coyotes,0,1,Chicago Blackhawks,Paul Stewart,Brad Lazarowich
1997021022,0,3,St. Louis Blues,1,4,Dallas Stars,Paul Devorski,Dan Schachte
1997021023,1,3,Boston Bruins,0,2,Carolina Hurricanes,Mark Faucette,Tim Nowak
1997021024,0,1,Philadelphia Flyers,1,2,Buffalo Sabres,Lance Roberts,Brad Lazarowich
1997021025,1,2,Washington Capitals,0,0,New York Islanders,Dave Jackson,Thor Nelson
1997021026,1,3,Ottawa Senators,0,2,Tampa Bay Lightning,Bill McCreary,Jean Morin
1997021027,0,2,Calgary Flames,1,4,Los Angeles Kings,Robbie Shick,Don Henderson
1997021028,0,2,Colorado Avalanche,0,2,Anaheim Ducks,Terry Gregson,Wayne Bonney
1997021029,0,1,New York Rangers,1,3,Washington Capitals,Michael McGeough,Danny McCourt
1997021030,1,3,Ottawa Senators,0,2,Florida Panthers,Bill McCreary,Jean Morin
